Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,OECD members,OED,10.54515987,11.05324022,9.916181257,10.15804125,9.964278019,9.754415001,9.681807397,9.523556491,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Other small states,OSS,4.059143282,5.026929081,6.310198594,6.564310308,6.78463419,7.007403494,6.68853493,7.519311831,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Pacific island small states,PSS,1.030430429,0.96145485,0.9281475,1.096408647,1.030073173,1.004216091,1.039494445,1.064149686,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Post-demographic dividend,PST,11.63490891,12.01334892,10.77538669,11.08958971,10.83341768,10.59881387,10.54176265,10.35677267,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Pre-demographic dividend,PRE,0.334551205,0.389169394,0.431235884,0.466651105,0.504192971,0.523535454,0.535839629,0.536757223,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Small states,SST,4.197963439,5.086231939,6.495612725,6.760790365,6.889462975,7.000805122,6.809865439,7.384025519,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,South Asia,SAS,0.627198431,0.851780145,1.229591391,1.207519099,1.270878874,1.362315313,1.35522147,1.461467463,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,South Asia (IDA & IBRD),TSA,0.627198431,0.851780145,1.229591391,1.207519099,1.270878874,1.362315313,1.35522147,1.461467463,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa,SSF,0.856793974,0.84176086,0.871235104,0.850715337,0.840118001,0.827960049,0.82300949,0.840453498,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa (excluding high income),SSA,0.856620723,0.841008012,0.870710978,0.850298545,0.839824281,0.827566132,0.822666074,0.840028002,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa (IDA & IBRD countries),TSS,0.856793974,0.84176086,0.871235104,0.850715337,0.840118001,0.827960049,0.82300949,0.840453498,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Upper middle income,UMC,3.44517076,3.539215237,5.599057635,5.982705529,6.403580886,6.555613877,6.605490361,6.588135175,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,World,WLD,4.188507388,4.033395051,4.656246053,4.828259915,4.967716837,4.996384374,4.987930702,4.970155157,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/24/2019,,,,,,,,,,,,,,,
